covariate,mens,womens
recency,0.006831532454259954,0.005180013205688683
history,0.007612868321542611,0.006510722458553667
log_history,-0.0011678531088400658,0.00648116655204445
history_bin,0.001289632748162293,0.0046241826983318786
mens,-0.004582325637487962,-0.008630731202832915
womens,0.007588929691887142,0.004946313992582152
newbie,-0.0008918953696535326,0.00255670091407956
zip_Rural,0.01365900039927897,0.0039585056013728605
zip_Surburban,-0.01174335672606268,-0.0010891197386245202
zip_Urban,0.0019722315768513645,-0.0017628666291550237
ch_Multichannel,-0.004181536419632754,-0.00528289712504171
ch_Phone,-0.008275992307117473,0.008622833281250204
ch_Web,0.011013588354428299,-0.005147863897421752
