k_pct,n_targeted,inc_conv_rate,profit_topk,profit_random
1,427,-0.0033240875269669352,-78.18463435037204,-9.487905419809273
2,854,-6.581653640477195e-05,-86.80518305224189,-18.975810839618546
3,1281,0.0062573127925117,72.29044218018718,-28.46371625942782
4,1708,0.009149552395997892,219.88588730911002,-37.95162167923709
5,2135,0.011077821189240042,377.7787059756873,-47.43952709904637
6,2562,0.010849905176070243,438.73642652729905,-56.92743251885564
7,2989,0.008103425117528543,306.6284419073204,-66.41533793866492
8,3415,0.007800183582157131,324.44067332666503,-75.90324335847419
9,3842,0.008010016585905232,385.1620930761975,-85.39114877828347
10,4269,0.009394032243479268,575.6780911853249,-94.87905419809275
11,4696,0.008118670184351985,483.531879642923,-104.36695961790201
12,5123,0.007761018781171642,481.69248039855796,-113.85486503771128
13,5550,0.009170590992343033,717.4195001875958,-123.34277045752056
14,5977,0.008835238292318262,722.5054818296562,-132.83067587732984
15,6404,0.007634962284603107,581.9574617649574,-142.3185812971391
16,6831,0.007436972066797726,586.9489047073815,-151.80648671694837
17,7258,0.007032061083541549,550.167483608614,-161.29439213675766
18,7685,0.00660472964506326,500.43368305777875,-170.78229755656693
19,8112,0.0070444624322488865,617.4169812600742,-180.2702029763762
20,8539,0.007174672684565878,677.7132513377007,-189.7581083961855
21,8966,0.006780016087566521,623.1406060280356,-199.24601381599473
22,9392,0.006620070570790383,615.1925700215818,-208.73391923580402
23,9819,0.0063597592569787685,579.2619036068631,-218.22182465561332
24,10246,0.0062683573321871185,581.0397306397305,-227.70973007542256
25,10673,0.00636980969657101,632.3244722875595,-237.19763549523185
26,11100,0.0064730470231240365,686.2705489169201,-246.68554091504112
27,11527,0.006553387461909326,735.8224318357198,-256.17344633485044
28,11954,0.006430242139470505,726.2778633807602,-265.6613517546597
29,12381,0.006385535848368187,738.382983466163,-275.14925717446897
30,12808,0.00615669338138329,690.5732207189295,-284.6371625942782
31,13235,0.005842800586869915,609.7366441805831,-294.1250680140875
32,13662,0.006712472658788951,926.445036609366,-303.61297343389674
33,14089,0.0066348888917192655,928.073739885818,-313.10087885370604
34,14516,0.006471770511925849,897.0055187778903,-322.58878427351533
35,14943,0.006851893247022035,1065.3960197562567,-332.07668969332457
36,15369,0.0065385796913055684,975.3857818918818,-341.56459511313386
37,15796,0.006464793840669785,973.3470876804979,-351.05250053294316
38,16223,0.006297359884050359,931.7517349737241,-360.5404059527524
39,16650,0.006152925438125138,896.1552136195884,-370.02831137256163
40,17077,0.006125513986940956,907.4350588747675,-379.516216792371
41,17504,0.006322506200306941,1016.3287132543173,-389.0041222121802
42,17931,0.005966352039751861,881.4664606197654,-398.49202763198946
43,18358,0.005910789917338815,876.9570325626488,-407.9799330517988
44,18785,0.005883288198212837,884.4392200857035,-417.46783847160805
45,19212,0.00586428701228622,895.4170520010714,-426.9557438914173
46,19639,0.005911982012787647,938.7353687284152,-436.44364931122664
47,20066,0.005874549815067957,940.3679147288408,-445.9315547310359
48,20493,0.00595739095590078,1002.8203214818669,-455.4194601508451
49,20920,0.005857485225425657,971.4647728976186,-464.90736557065446
50,21346,0.005821171892163325,971.8683802529582,-474.3952709904637
51,21773,0.005696818714251649,923.6208466350288,-483.883176410273
52,22200,0.005511721724242025,839.0055569543235,-493.37108183008223
53,22627,0.005494897944673922,845.6263948534207,-502.8589872498915
54,23054,0.0056521030227578515,952.1895771664877,-512.3468926697009
55,23481,0.005472104895867424,864.1623764965741,-521.8347980895101
56,23908,0.00529631435237759,774.8070884160855,-531.3227035093194
57,24335,0.005030757258582795,627.086947190308,-540.8106089291286
58,24762,0.005028794181530474,636.8750380764396,-550.2985143489379
59,25189,0.005033872646495124,651.0554523141421,-559.7864197687471
60,25616,0.004957504042821724,613.1855890230321,-569.2743251885564
61,26043,0.004863867662808455,562.4426385630146,-578.7622306083657
62,26470,0.004933913059364067,618.0169670341714,-588.250136028175
63,26897,0.004794570726485413,534.2892207569538,-597.7380414479843
64,27324,0.004807077133641551,551.3143899905432,-607.2259468677935
65,27750,0.004775778607029485,538.1964086267054,-616.7138522876028
66,28177,0.004778900499456026,548.6769843293108,-626.2017577074121
67,28604,0.004556724654173672,398.11380019959245,-635.6896631272214
68,29031,0.004431559263006806,313.21492410876465,-645.1775685470307
69,29458,0.004442439362338163,325.83446839394,-654.66547396684
70,29885,0.004258888236577299,193.42187375281432,-664.1533793866491
71,30312,0.004218710383853468,165.73872888415778,-673.6412848064584
72,30739,0.0042167225731232945,166.54587938092345,-683.1291902262677
73,31166,0.0042759458780826844,215.00323090812324,-692.617095646077
74,31593,0.004286963438768877,226.65089802562773,-702.1050010658863
75,32020,0.0041830040513093445,146.49474307313028,-711.5929064856956
76,32447,0.004125657405888647,101.93014622172299,-721.0808119055048
77,32874,0.004018973587088955,15.593442549057322,-730.5687173253141
78,33301,0.003846859457483957,-127.49333015816882,-740.0566227451233
79,33727,0.0037371926898750784,-221.5925537145809,-749.5445281649327
80,34154,0.003639188209136367,-308.07914762891323,-759.032433584742
81,34581,0.003463692063937607,-463.6516184243407,-768.5203390045513
82,35008,0.0034764655896834416,-458.19731590905195,-778.0082444243604
83,35435,0.0034165431238894735,-516.869860124413,-787.4961498441697
84,35862,0.003475577598306935,-470.1709042379178,-796.9840552639789
85,36289,0.0034376778687016853,-510.15269556711394,-806.4719606837883
86,36716,0.0033454815323648752,-600.7825014422814,-815.9598661035976
87,37143,0.0033549942464788087,-598.9362175759406,-825.4477715234068
88,37570,0.003301175262330051,-656.3711348564997,-834.9356769432161
89,37997,0.0031096226600303084,-845.7916946707095,-844.4235823630254
90,38424,0.003121858006643871,-843.5431988178976,-853.9114877828346
91,38851,0.0031405194426472405,-834.7919783428017,-863.399393202644
92,39278,0.0033485407734864074,-639.7003874750224,-872.8872986224533
93,39704,0.0032149847658629067,-779.2061214044792,-882.3752040422625
94,40131,0.0031370212318504046,-865.8050236152853,-891.8631094620717
95,40558,0.003215569179823529,-795.3736301179327,-901.3510148818809
96,40985,0.0030818847190364493,-940.7238697572781,-910.8389203016902
97,41412,0.003105728443713254,-925.8393422236686,-920.3268257214996
98,41839,0.0031205830278173427,-919.8481674787549,-929.8147311413089
99,42266,0.0030936280961135305,-957.7178722416384,-939.3026365611181
100,42693,0.003111057511085258,-948.7905419809274,-948.7905419809274
