learner,qini_test,qini_oof_train,uplift_at_10,uplift_at_20,uplift_at_30
S-learner,54.84314032584041,83.97427131944289,0.08492264896783955,0.07956640590477873,0.07517144435777431
X-learner,31.161939671200855,65.3932246145763,0.05584944296823577,0.06267794461778473,0.07175848678821709
T-learner,23.700548389577875,73.55396808123487,0.044040718224233,0.05686365921660039,0.059680717653973564
class-transformation,3.902192628051637,40.77882076933804,0.049198414403155574,0.0416342395851934,0.054896466323522575
