treatment,outcome,n_treat,n_ctrl,mean_treat,mean_ctrl,ate,rel_lift_pct,welch_t,p_raw,ci_welch_lo,ci_welch_hi,ci_boot_lo,ci_boot_hi,p_holm,significant_5pct
mens,visit,21307,21306,0.18275684047496127,0.10616727682343002,0.07658956365153125,72.1404616781399,22.620230766723257,1.3644511962742709e-112,0.06995314760976148,0.083225979693301,0.07006573448909854,0.08344186260152837,8.186707177645625e-112,True
mens,conversion,21307,21306,0.01253109306800582,0.005726086548390125,0.006805006519615695,118.84218762863279,7.38973572140406,1.501815785154377e-13,0.005000070747732388,0.008609942291499001,0.005020343309491465,0.008588484511279679,6.007263140617508e-13,True
mens,spend,21307,21306,1.422616511005773,0.6527893551112363,0.7698271558945367,117.92887703620059,5.300140358411668,1.1638149682254859e-07,0.4851397325684075,1.0545145792206658,0.4840224235694457,1.0517274008643562,3.491444904676458e-07,True
womens,visit,21387,21306,0.151400383410483,0.10616727682343002,0.045233106587052985,42.60550702669102,13.9847384824106,2.432447702312722e-44,0.03889349376208028,0.05157271941202569,0.03895170410752685,0.0515530937772964,1.2162238511563609e-43,True
womens,conversion,21387,21306,0.008837144059475383,0.005726086548390125,0.003111057511085258,54.33130436982172,3.781626589537274,0.00015602839508556401,0.0014985923661468032,0.004723522656023713,0.001426325458698614,0.004801273613775142,0.00031205679017112803,True
womens,spend,21387,21306,1.0772015710478329,0.6527893551112363,0.4244122159365966,65.0151863864686,3.2563715760253915,0.0011293971023632523,0.16895678988377866,0.6798676419894145,0.15190203755799728,0.6861487522795535,0.0011293971023632523,True
