learner,frac,qini
S-learner,0.0,0.0
S-learner,0.003279200499687695,0.5
S-learner,0.00655840099937539,6.851063829787234
S-learner,0.009837601499063086,8.21875
S-learner,0.01311680199875078,13.188235294117646
S-learner,0.016396002498438474,17.373831775700936
S-learner,0.01967520299812617,16.4375
S-learner,0.022954403497813865,17.05263157894737
S-learner,0.02623360399750156,18.448275862068964
S-learner,0.029512804497189255,16.340206185567013
S-learner,0.03279200499687695,23.5
S-learner,0.036071205496564646,26.764705882352942
S-learner,0.03935040599625234,28.53488372093023
S-learner,0.04262960649594004,28.1067615658363
S-learner,0.04590880699562773,29.813114754098358
S-learner,0.049188007495315426,28.584615384615383
S-learner,0.05246720799500312,29.10344827586207
S-learner,0.05574640849469082,30.70967741935484
S-learner,0.05902560899437851,30.42857142857143
S-learner,0.06230480949406621,29.38983050847458
S-learner,0.0655840099937539,31.888888888888893
S-learner,0.0688632104934416,37.38461538461539
S-learner,0.07214241099312929,36.58490566037736
S-learner,0.075421611492817,34.43661971830986
S-learner,0.07870081199250469,41.351351351351354
S-learner,0.08198001249219238,41.37662337662338
S-learner,0.08525921299188008,42.63636363636364
S-learner,0.08853841349156777,44.604095563139936
S-learner,0.09181761399125546,46.04628099173553
S-learner,0.09509681449094316,47.50961538461539
S-learner,0.09837601499063085,50.16666666666667
S-learner,0.10165521549031856,53.968796433878154
S-learner,0.10493441599000625,56.96969696969697
S-learner,0.10821361648969394,62.65638148667601
S-learner,0.11149281698938164,64.2672064777328
S-learner,0.11477201748906933,65.65789473684211
S-learner,0.11805121798875702,69.09302325581395
S-learner,0.12133041848844472,70.92911392405063
S-learner,0.12460961898813241,72.10344827586206
S-learner,0.1278888194878201,74.95698924731182
S-learner,0.1311680199875078,80.04918032786885
S-learner,0.1344472204871955,83.84982935153585
S-learner,0.1377264209868832,86.75977653631284
S-learner,0.1410056214865709,87.57049180327868
S-learner,0.14428482198625858,88.04477611940298
S-learner,0.14756402248594627,85.69565217391305
S-learner,0.150843222985634,84.87385554425228
S-learner,0.15412242348532168,86.97125867195243
S-learner,0.15740162398500937,85.84780487804878
S-learner,0.16068082448469706,84.41954022988506
S-learner,0.16396002498438475,85.07865168539325
S-learner,0.16723922548407247,85.8076923076923
S-learner,0.17051842598376016,87.53237410071942
S-learner,0.17379762648344785,88.18012422360249
S-learner,0.17707682698313554,91.70157068062828
S-learner,0.18035602748282323,93.63450042698548
S-learner,0.18363522798251092,96.07035175879398
S-learner,0.18691442848219864,93.375
S-learner,0.19019362898188633,100.40632603406326
S-learner,0.19347282948157402,101.09546539379477
S-learner,0.1967520299812617,98.23076923076923
S-learner,0.2000312304809494,100.6515034695451
S-learner,0.2033104309806371,102.40121120363361
S-learner,0.2065896314803248,106.4172876304024
S-learner,0.2098688319800125,106.63343108504398
S-learner,0.21314803247970018,106.84848484848484
S-learner,0.21642723297938787,106.66571834992888
S-learner,0.2197064334790756,110.50104821802935
S-learner,0.22298563397876328,113.55801104972377
S-learner,0.22626483447845097,117.04907975460122
S-learner,0.22954403497813866,119.72064777327935
S-learner,0.23282323547782635,117.93882978723403
S-learner,0.23610243597751404,118.9495081967213
S-learner,0.23938163647720176,123.24238496435515
S-learner,0.24266083697688945,123.46006389776358
S-learner,0.24594003747657714,123.77890082122553
S-learner,0.24921923797626483,123.77556109725685
S-learner,0.25249843847595255,125.44594594594594
S-learner,0.2557776389756402,127.54893617021276
S-learner,0.2590568394753279,130.7852429514097
S-learner,0.2623360399750156,133.10979228486647
S-learner,0.2656152404747033,132.66197183098592
S-learner,0.268894440974391,137.1001737116387
S-learner,0.2721736414740787,135.44240687679084
