method,estimand,estimate,ci_lo,ci_hi,abs_error_vs_rct
RCT benchmark,ATE,0.045233106587052985,0.03895170410752685,0.0515530937772964,0.0
naive difference in means,ATE,0.07606117752984866,0.06706135720745329,0.08506099785224402,0.030828070942795674
"regression adjustment (OLS, HC1)",ATE,0.044493977433303626,0.03419492384137199,0.054793031025235264,0.0007391291537493586
"IPW (stabilised, trimmed)",ATE,0.04629462567711687,0.036959632472721306,0.05765437833735871,0.0010615190900638838
1:1 NN matching (ATT),ATT,0.05536124712701109,0.04586732047055811,0.06485517378346407,0.010128140539958107
"AIPW (doubly robust, cross-fit)",ATE,0.046449259478847295,0.03498150028567713,0.057917018672017456,0.0012161528917943101
